Year,Primary Type,Description,Location
2015,THEFT,$500 AND UNDER,"(41.791589271, -87.648731378)"
2015,BATTERY,SIMPLE,"(41.79697684, -87.664663645)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.859294066, -87.657689869)"
2015,THEFT,FROM BUILDING,"(41.983677376, -87.65697959)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.845524863, -87.703835964)"
2015,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,"(41.703776493, -87.563243354)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.920953865, -87.757282054)"
2015,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,"(41.841811689, -87.709839623)"
2015,THEFT,$500 AND UNDER,"(41.743546065, -87.602588167)"
2015,BURGLARY,UNLAWFUL ENTRY,
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.931120002, -87.676784841)"
2015,THEFT,$500 AND UNDER,"(41.800635964, -87.667196557)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.876295595, -87.63175265)"
2015,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,"(41.818166098, -87.700134596)"
2015,THEFT,$500 AND UNDER,"(42.000011136, -87.709364533)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.999865702, -87.709365954)"
2015,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,"(41.761310914, -87.612737463)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,"(41.900752739, -87.627800699)"
2015,THEFT,FROM BUILDING,
2015,THEFT,$500 AND UNDER,"(42.021892708, -87.666794751)"
2015,THEFT,FROM BUILDING,"(41.953902813, -87.767021837)"
2015,THEFT,$500 AND UNDER,"(41.918711651, -87.76551063)"
2015,THEFT,OVER $500,"(41.744123459, -87.664497778)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(42.012914397, -87.68755014)"
2015,ROBBERY,ARMED: HANDGUN,"(41.908842378, -87.727718131)"
2015,BATTERY,AGGRAVATED OF A CHILD,"(41.756543074, -87.562686166)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.742167112, -87.553946731)"
2015,ROBBERY,ARMED: HANDGUN,"(41.902575695, -87.732115619)"
2015,NARCOTICS,FOUND SUSPECT NARCOTICS,"(41.769185486, -87.625732415)"
2015,THEFT,OVER $500,"(41.892860937, -87.771090962)"
2015,CRIMINAL DAMAGE,TO PROPERTY,
2015,THEFT,FROM BUILDING,"(41.942120521, -87.649339888)"
2015,BURGLARY,FORCIBLE ENTRY,"(42.022534349, -87.673357342)"
2015,THEFT,$500 AND UNDER,"(41.800763314, -87.707912473)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.789060149, -87.729165884)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.762441258, -87.710810198)"
2015,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,"(41.804178164, -87.668502264)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.965574629, -87.70944696)"
2015,BATTERY,SIMPLE,"(41.679883029, -87.670910672)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.783674009, -87.596277178)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.794955917, -87.800346524)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.952614965, -87.700647418)"
2015,BATTERY,SIMPLE,"(41.811104055, -87.697962912)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.9353465, -87.756568188)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.762520337, -87.575919936)"
2015,THEFT,OVER $500,"(41.885700244, -87.641726854)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.830530933, -87.610277459)"
2015,THEFT,OVER $500,"(41.926210026, -87.637092949)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.948919778, -87.662206857)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.939367576, -87.701950868)"
2015,BATTERY,SIMPLE,"(42.011906849, -87.665887113)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.838369833, -87.621466209)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.79706696, -87.662234926)"
2015,ROBBERY,VEHICULAR HIJACKING,"(41.842037885, -87.71106685)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.761072467, -87.621591809)"
2015,BATTERY,PRO EMP HANDS NO/MIN INJURY,"(41.795868205, -87.625732367)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.966694354, -87.65479491)"
2015,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,"(41.662687235, -87.636608829)"
2015,THEFT,RETAIL THEFT,"(41.706204287, -87.699685293)"
2015,ASSAULT,SIMPLE,"(41.692041778, -87.665923635)"
2015,THEFT,FROM BUILDING,"(41.784977934, -87.632741768)"
2015,THEFT,FROM BUILDING,"(41.79384675, -87.680608)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.909549647, -87.751998829)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.897226245, -87.702277981)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.829929212, -87.724198877)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.910251395, -87.760581865)"
2015,THEFT,OVER $500,"(41.8726596, -87.625958144)"
2015,OTHER OFFENSE,OTHER VEHICLE OFFENSE,"(41.675713377, -87.627408759)"
2015,BATTERY,SIMPLE,"(41.708171691, -87.627141674)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.914793142, -87.652038276)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.700501645, -87.624523155)"
2015,ROBBERY,ARMED: HANDGUN,"(41.757327195, -87.644213747)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.678902823, -87.64560016)"
2015,BATTERY,SIMPLE,"(41.839133901, -87.637780762)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.787519116, -87.687529113)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.771221167, -87.569915545)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.695333736, -87.635227708)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.695556079, -87.635236288)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.932211459, -87.684377387)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.975185467, -87.761195638)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.965999456, -87.679758217)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.741280693, -87.600657189)"
2015,THEFT,FROM BUILDING,"(41.903510544, -87.628670328)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.880991939, -87.704394994)"
2015,THEFT,$500 AND UNDER,"(41.924516316, -87.795271559)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.710073639, -87.663371243)"
2015,THEFT,FROM BUILDING,"(41.903496824, -87.628670479)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.731105673, -87.560982647)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.881893071, -87.73858166)"
2015,THEFT,$500 AND UNDER,"(41.740444913, -87.715764071)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.804379361, -87.584779905)"
2015,THEFT,OVER $500,"(41.937214515, -87.731286853)"
2015,THEFT,OVER $500,"(41.866810739, -87.625817031)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.923642869, -87.64782125)"
2015,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,"(41.855393403, -87.632326185)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.7589416, -87.570500923)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.76232986, -87.669821452)"
2015,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,"(41.648588776, -87.539964437)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.938810869, -87.748120159)"
2015,CRIMINAL TRESPASS,TO VEHICLE,"(41.747435212, -87.679165459)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.879629586, -87.686393198)"
2015,THEFT,$500 AND UNDER,"(42.019832544, -87.673090871)"
2015,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,"(41.675443263, -87.624988506)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.934864234, -87.64511006)"
2015,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"(42.016570274, -87.670331548)"
2015,ASSAULT,AGG PO HANDS NO/MIN INJURY,"(41.769522748, -87.656660513)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.758434033, -87.563935345)"
2015,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"(41.876074463, -87.733678593)"
2015,ASSAULT,SIMPLE,"(41.691854483, -87.538557943)"
2015,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"(41.709823247, -87.65020758)"
2015,ARSON,AGGRAVATED,"(42.005832909, -87.669964736)"
2015,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,"(41.758283658, -87.621937826)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.775815434, -87.615515359)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.943439514, -87.730974668)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.957764542, -87.765480261)"
2015,BATTERY,SIMPLE,"(41.869387636, -87.658659333)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.769522748, -87.656660513)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.799249854, -87.620960466)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.906805663, -87.723993956)"
2015,ROBBERY,ARMED: HANDGUN,"(41.893250886, -87.672699289)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.682507377, -87.625910442)"
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.944126544, -87.76066106)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.797832643, -87.61768285)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.701729429, -87.618493138)"
2015,ROBBERY,ARMED: HANDGUN,"(41.872738171, -87.709597899)"
2015,PROSTITUTION,SOLICIT FOR PROSTITUTE,"(41.782655024, -87.664299154)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.751249089, -87.607312599)"
2015,THEFT,$500 AND UNDER,"(41.701769635, -87.715852305)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.856042416, -87.718815813)"
2015,THEFT,$500 AND UNDER,"(42.004511989, -87.662244702)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.706595944, -87.618626003)"
2015,THEFT,$500 AND UNDER,"(41.930430489, -87.648935596)"
2015,CRIMINAL DAMAGE,TO PROPERTY,
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.695842213, -87.612242099)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.794344947, -87.615968735)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.765221581, -87.601887733)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.719269331, -87.626185042)"
2015,THEFT,$500 AND UNDER,"(41.764649079, -87.686229994)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.907610657, -87.666386844)"
2015,THEFT,$500 AND UNDER,"(41.95555821, -87.656163033)"
2015,THEFT,OVER $500,"(41.844073188, -87.626926379)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.736259849, -87.6280468)"
2015,ROBBERY,AGGRAVATED,"(41.752247917, -87.612527332)"
2015,THEFT,$500 AND UNDER,"(41.941790125, -87.650078545)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.944705219, -87.789948362)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.951190174, -87.668972924)"
2015,THEFT,$500 AND UNDER,"(41.987053067, -87.80565494)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.992900144, -87.656900347)"
2015,THEFT,RETAIL THEFT,"(41.758214815, -87.624119338)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.888324749, -87.763308167)"
2015,BURGLARY,ATTEMPT FORCIBLE ENTRY,"(41.732853062, -87.655682635)"
2015,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"(41.771360651, -87.657927921)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.723045757, -87.661910451)"
2015,BATTERY,SIMPLE,"(41.910018319, -87.714598865)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.921223903, -87.715273279)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.79318416, -87.725918418)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.894945606, -87.754874977)"
2015,NARCOTICS,POSS: SYNTHETIC DRUGS,"(41.697445522, -87.654703306)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.850544213, -87.714966801)"
2015,THEFT,OVER $500,
2015,THEFT,FROM BUILDING,"(41.893187629, -87.744291004)"
2015,THEFT,$500 AND UNDER,"(41.964430539, -87.648351215)"
2015,THEFT,$500 AND UNDER,"(41.918966669, -87.643689929)"
2015,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,"(41.891060252, -87.768759881)"
2015,PROSTITUTION,SOLICIT FOR PROSTITUTE,"(41.782655024, -87.664299154)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.929854785, -87.735541829)"
2015,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,"(41.93203098, -87.707730613)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.738810875, -87.647342965)"
2015,THEFT,OVER $500,"(41.896541195, -87.637837697)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.744699506, -87.617983718)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.763887643, -87.680669815)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.922685704, -87.768374608)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.865619065, -87.716616807)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.832222631, -87.620572957)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.970860793, -87.650753469)"
2015,THEFT,$500 AND UNDER,"(41.952014443, -87.782747058)"
2015,BATTERY,SIMPLE,"(41.862817911, -87.718288381)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.700126197, -87.543780384)"
2015,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,"(41.773407667, -87.670136215)"
2015,PROSTITUTION,SOLICIT ON PUBLIC WAY,"(41.782655024, -87.664299154)"
2015,NARCOTICS,POSS: CRACK,"(41.711714647, -87.642954141)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.958608924, -87.669171615)"
2015,THEFT,OVER $500,"(41.798060145, -87.590831304)"
2015,ASSAULT,SIMPLE,"(41.957637391, -87.884241312)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.982625308, -87.823573873)"
2015,PROSTITUTION,SOLICIT ON PUBLIC WAY,"(41.782655024, -87.664299154)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.878739138, -87.677453482)"
2015,THEFT,$500 AND UNDER,"(41.913726229, -87.706083413)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.767918536, -87.582216392)"
2015,THEFT,OVER $500,"(41.911064107, -87.689679942)"
2015,THEFT,OVER $500,"(41.788562828, -87.619065693)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.871988266, -87.694489094)"
2015,BATTERY,SIMPLE,"(41.881348623, -87.674525788)"
2015,PROSTITUTION,SOLICIT FOR PROSTITUTE,"(41.782655024, -87.664299154)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.778598577, -87.648400278)"
2015,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,"(41.89132736, -87.751352411)"
2015,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"(41.76179982, -87.688061969)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.784197521, -87.664334451)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.771850282, -87.673711855)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.786344569, -87.660748064)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.751163576, -87.562585602)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.847655605, -87.707569729)"
2015,THEFT,$500 AND UNDER,"(41.805077058, -87.618046039)"
2015,THEFT,$500 AND UNDER,"(41.915500189, -87.713884576)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.775889482, -87.756781934)"
2015,BURGLARY,FORCIBLE ENTRY,
2015,THEFT,OVER $500,"(41.947508143, -87.712744037)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.757630995, -87.585708249)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.795698883, -87.633032087)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.796219315, -87.730602244)"
2015,THEFT,$500 AND UNDER,"(41.875069995, -87.741068317)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.799297464, -87.674457347)"
2015,ROBBERY,ARMED: HANDGUN,"(42.005612592, -87.68035737)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.880992663, -87.704527184)"
2015,ASSAULT,AGGRAVATED: HANDGUN,"(41.727164159, -87.598538995)"
2015,THEFT,$500 AND UNDER,"(41.751501206, -87.664677728)"
2015,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"(41.778293181, -87.679830844)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.881556538, -87.627758535)"
2015,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"(41.706936355, -87.623514952)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.909874189, -87.727194046)"
2015,THEFT,PURSE-SNATCHING,"(41.656972482, -87.59768703)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.763956766, -87.665006603)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.900821314, -87.72778291)"
2015,NARCOTICS,POSS: HEROIN(BRN/TAN),"(41.779518628, -87.661065042)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.765452668, -87.628764515)"
2015,OTHER OFFENSE,LICENSE VIOLATION,"(41.794509508, -87.633301738)"
2015,NARCOTICS,POSS: PCP,"(41.873185004, -87.743795434)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.773187976, -87.642632596)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.774183604, -87.608249138)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.774644879, -87.693278365)"
2015,THEFT,$500 AND UNDER,"(41.959679926, -87.758297439)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.701305862, -87.607398627)"
2015,CRIMINAL TRESPASS,TO RESIDENCE,"(41.945638222, -87.825302209)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.819478179, -87.605680298)"
2015,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,"(41.8920906, -87.763458325)"
2015,THEFT,OVER $500,"(41.952372361, -87.78356378)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.87709359, -87.686337994)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.80931907, -87.620592154)"
2015,THEFT,$500 AND UNDER,"(41.777779902, -87.655191543)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.779234743, -87.685207125)"
2015,ROBBERY,ARMED: HANDGUN,"(41.88060406, -87.736089224)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.879297705, -87.627706271)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.902588746, -87.76098463)"
2015,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,"(41.75341951, -87.673226262)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.903545742, -87.72145722)"
2015,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"(41.809347098, -87.618919216)"
2015,THEFT,OVER $500,"(41.905471845, -87.683432312)"
2015,BATTERY,SIMPLE,"(41.655085042, -87.605118537)"
2015,BATTERY,SIMPLE,"(41.925212095, -87.723124326)"
2015,NARCOTICS,POSS: HEROIN(BRN/TAN),"(41.753104057, -87.56262469)"
2015,THEFT,RETAIL THEFT,"(41.942414199, -87.649347777)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.808510159, -87.602785675)"
2015,THEFT,$500 AND UNDER,"(41.71199783, -87.627231647)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.779520772, -87.660962362)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.879503218, -87.626763965)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(42.001933073, -87.698536586)"
2015,THEFT,OVER $500,"(41.714524086, -87.564598441)"
2015,BATTERY,SIMPLE,"(41.972554461, -87.728148303)"
2015,THEFT,OVER $500,"(41.702160131, -87.675442612)"
2015,THEFT,$500 AND UNDER,"(41.736930377, -87.584391221)"
2015,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,"(41.679490802, -87.622707459)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.787015605, -87.645692618)"
2015,THEFT,$500 AND UNDER,"(41.888131743, -87.629548167)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.952081126, -87.796245595)"
2015,THEFT,OVER $500,"(41.752865851, -87.619194063)"
2015,THEFT,$500 AND UNDER,"(41.94170382, -87.716251737)"
2015,BATTERY,SIMPLE,"(41.77268594, -87.605758495)"
2015,THEFT,$500 AND UNDER,"(41.891404732, -87.628061509)"
2015,THEFT,OVER $500,"(41.945256125, -87.747939917)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.687336432, -87.610319823)"
2015,THEFT,OVER $500,"(41.9599582, -87.722899558)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.884033228, -87.724893434)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.777159455, -87.702352906)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.750924699, -87.582879957)"
2015,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,"(41.902941011, -87.695058578)"
2015,OTHER OFFENSE,LICENSE VIOLATION,"(41.75830449, -87.620871042)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,
2015,THEFT,OVER $500,"(41.911292581, -87.636667266)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.752692261, -87.583335793)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.89545571, -87.716836713)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.771876079, -87.689874597)"
2015,ROBBERY,ARMED: HANDGUN,"(41.905413896, -87.7460301)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.884321029, -87.694509471)"
2015,CRIMINAL TRESPASS,TO VEHICLE,"(41.896678296, -87.67219749)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"(41.761619026, -87.590874042)"
2015,THEFT,FROM BUILDING,"(41.932717616, -87.722104613)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.738784916, -87.652205404)"
2015,THEFT,$500 AND UNDER,"(41.767629931, -87.661464102)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.797475986, -87.642808276)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.885347387, -87.627929824)"
2015,CRIMINAL TRESPASS,TO STATE SUP LAND,"(41.852351309, -87.634789274)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.769344213, -87.67457699)"
2015,ASSAULT,AGGRAVATED: HANDGUN,"(41.869684049, -87.730191653)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.749908192, -87.644021916)"
2015,ROBBERY,ARMED: HANDGUN,"(41.754592961, -87.741528537)"
2015,ROBBERY,ARMED: HANDGUN,"(41.833324026, -87.682691255)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.997425544, -87.707245033)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.76393165, -87.702801419)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.880079229, -87.64113751)"
2015,CRIMINAL TRESPASS,TO LAND,"(41.878222138, -87.627288482)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.907589393, -87.684711313)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.774499411, -87.600928136)"
2015,BATTERY,SIMPLE,"(41.876493842, -87.626044379)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.858875982, -87.724247284)"
2015,THEFT,FROM BUILDING,
2015,ASSAULT,SIMPLE,"(41.924553164, -87.721002987)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.772701185, -87.585060362)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.89134772, -87.749416692)"
2015,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"(41.679622543, -87.62270967)"
2015,OTHER OFFENSE,OTHER WEAPONS VIOLATION,"(41.976762981, -87.900983721)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.868219921, -87.664046556)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.886094169, -87.765068733)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.893683403, -87.765350389)"
2015,THEFT,$500 AND UNDER,"(41.916767461, -87.698209227)"
2015,THEFT,FROM BUILDING,"(41.878222138, -87.627288482)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.888358546, -87.765144152)"
2015,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,"(41.98950771, -87.656796486)"
2015,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,"(41.918523138, -87.699088347)"
2015,THEFT,OVER $500,"(41.890100981, -87.646586061)"
2015,THEFT,OVER $500,"(41.88805989, -87.750452913)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.893813454, -87.773954803)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.856524122, -87.705387287)"
2015,THEFT,OVER $500,"(41.89232028, -87.772204888)"
2015,BATTERY,SIMPLE,"(41.735507153, -87.638735124)"
2015,THEFT,OVER $500,"(41.953087341, -87.725090015)"
2015,THEFT,ATTEMPT THEFT,"(41.866148185, -87.726825268)"
2015,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,
2015,BURGLARY,FORCIBLE ENTRY,"(41.702508482, -87.631348988)"
2015,ASSAULT,AGGRAVATED: HANDGUN,"(41.761245409, -87.634565067)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.776003524, -87.600966016)"
2015,BATTERY,SIMPLE,"(41.759402215, -87.644268517)"
2015,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,"(41.879487981, -87.746363028)"
2015,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,"(41.761336924, -87.6103254)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.809432408, -87.6132438)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,
2015,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,"(41.93913126, -87.724244981)"
2015,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,"(41.747062942, -87.592950981)"
